"Code","Year","Estimate","Low","High"
"PRK",2018,3698,NA,NA
"SLE",2017,1741512,NA,NA
"GUF",2022,51,NA,NA
"MRT",2021,49560,NA,NA
"BWA",2015,346,NA,NA
"BGD",2020,6130,NA,NA
"AFG",2017,413536,NA,NA
"PRY",2015,8,NA,NA
"CRI",2019,149,NA,NA
"ZAF",2022,7280,NA,NA
"SWZ",2017,1127,NA,NA
"PHL",2020,6120,NA,NA
"CAF",2022,2460689,NA,NA
"MEX",2019,641,NA,NA
"LKA",2022,37,NA,NA
"THA",2022,10154,NA,NA
"NGA",2015,16702261,NA,NA
"ZWE",2015,484794,NA,NA
"NGA",2017,20219268,NA,NA
"SEN",2021,547773,NA,NA
"HND",2015,3555,NA,NA
"TGO",2017,1756582,NA,NA
"ZAF",2018,10789,NA,NA
"TCD",2017,1962372,NA,NA
"AGO",2022,9221410,NA,NA
"YEM",2016,145627,NA,NA
"PAN",2019,1597,NA,NA
"COG",2015,264574,NA,NA
"COG",2019,545796,NA,NA
"GMB",2021,73781,NA,NA
"TLS",2020,14,NA,NA
"MOZ",2015,8306986,NA,NA
"NAM",2018,36451,NA,NA
"SLV",2018,2,NA,NA
"NPL",2018,3031,NA,NA
"GNQ",2016,147714,NA,NA
"PER",2021,18140,NA,NA
"GNB",2016,156523,NA,NA
"BRA",2020,172419,NA,NA
"SEAR",2018,752907,NA,NA
"CPV",2015,27,NA,NA
"DOM",2015,661,NA,NA
"AMR",2020,589264,NA,NA
"SLV",2022,1,NA,NA
"ARG",2023,16,NA,NA
"ARM",2020,3,NA,NA
"KHM",2015,68109,NA,NA
"THA",2020,3940,NA,NA
"GNQ",2015,15142,NA,NA
"SUR",2022,61,NA,NA
"TGO",2018,2002877,NA,NA
"KGZ",2016,6,NA,NA
"BFA",2023,11055698,NA,NA
"LBR",2017,1366176,NA,NA
"ARG",2015,11,NA,NA
"MEX",2023,342,NA,NA
"AFR",2015,142473515,NA,NA
"PAN",2018,715,NA,NA
"GHA",2018,11154400,NA,NA
"VUT",2017,1228,NA,NA
"ERI",2017,55588,NA,NA
"SLB",2022,139810,NA,NA
"SWZ",2015,475,NA,NA
"CPV",2017,457,NA,NA
"NAM",2020,13636,NA,NA
"MYS",2022,2807,NA,NA
"NGA",2019,23376793,NA,NA
"VNM",2022,455,NA,NA
"SOM",2019,65375,NA,NA
"CPV",2020,10,NA,NA
"MOZ",2020,11331009,NA,NA
"DJI",2021,58916,NA,NA
"ECU",2023,757,NA,NA
"COM",2020,4546,NA,NA
"TGO",2023,2367706,NA,NA
"UGA",2017,11667831,NA,NA
"BLZ",2019,2,NA,NA
"KGZ",2020,0,NA,NA
"GTM",2016,5001,NA,NA
"PAN",2021,4364,NA,NA
"BOL",2023,10297,NA,NA
"BLZ",2016,5,NA,NA
"LKA",2021,26,NA,NA
"CMR",2017,3607898,NA,NA
"GIN",2023,2734149,NA,NA
"CRI",2023,641,NA,NA
"CHN",2017,2672,NA,NA
"MOZ",2018,10339330,NA,NA
"ZMB",2018,5195723,NA,NA
"ZWE",2018,266789,NA,NA
"LBR",2023,994782,NA,NA
"ETH",2018,1206891,NA,NA
"THA",2017,11440,NA,NA
"LKA",2017,57,NA,NA
"TKM",2017,0,NA,NA
"IRN",2018,625,NA,NA
"SAU",2022,4319,NA,NA
"GAB",2019,142917,NA,NA
"RWA",2015,2505794,NA,NA
"MRT",2019,135120,NA,NA
"BWA",2019,272,NA,NA
"ARM",2022,2,NA,NA
"GNB",2018,171075,NA,NA
"GEO",2015,6,NA,NA
"SEN",2020,452984,NA,NA
"SLE",2016,1845727,NA,NA
"CHN",2020,1051,NA,NA
"BTN",2017,51,NA,NA
"GLOBAL",2021,181753443,NA,NA
"IRN",2017,939,NA,NA
"TJK",2016,1,NA,NA
"BEN",2018,2255946,NA,NA
"GUF",2019,212,NA,NA
"MLI",2021,3561439,NA,NA
"BTN",2023,18,NA,NA
"HTI",2022,14757,NA,NA
"NER",2015,3937742,NA,NA
"KHM",2019,32197,NA,NA
"MEX",2022,244,NA,NA
"VNM",2023,453,NA,NA
