"Code","Year","Estimate","Low","High"
"CPV",2012,0.00751,NA,NA
"COD",2016,308.57116,232.97851,400.83042
"GIN",2020,330.30548,201.80696,514.22608
"ZAF",2017,4.05673,NA,NA
"ARM",2018,0,0,0
"KEN",2000,220.85286,169.84623,281.04591
"GHA",2009,341.57176,273.77291,419.40345
"BFA",2023,353.48887,233.72756,508.22868
"BEN",2005,502.43676,412.80631,608.37649
"TZA",2004,266.91169,205.15839,340.42444
"CIV",2002,507.2631,406.81418,629.47208
"PRK",2005,0.70543,0.70543,0.70543
"BRA",2017,5.31619,4.74732,5.752
"ARG",2007,1.63932,1.63932,1.63932
"ZMB",2017,188.00293,141.12875,246.11446
"IND",2006,18.08709,13.37174,25.18855
"SOM",2017,54.58747,30.61706,90.16953
"IDN",2014,4.49277,4.05121,5.01938
"GAB",2022,226.57587,120.71035,389.75086
"BDI",2020,308.38899,206.64725,441.51531
"GEO",2010,0,0,0
"BEN",2021,378.9792,277.10718,510.56617
"TCD",2007,235.76099,145.65296,361.70025
"AMR",2017,6.44415,5.98221,7.01055
"SDN",2023,68.06696,34.20753,124.43709
"MWI",2018,210.9491,146.60397,290.65982
"GUY",2001,49.67318,40.7821,59.41981
"IND",2013,9.03666,6.72557,12.59514
"CHN",2002,0.04742,0.04742,0.04742
"SOM",2023,58.89263,36.08004,91.47144
"ZAF",2019,0.80906,0.80906,0.80906
"ETH",2006,138.41473,42.71146,429.14198
"ETH",2000,196.06395,117.66915,309.14262
"IRQ",2013,0,0,0
"GNB",2020,94.41278,40.5863,186.1215
"AFG",2015,14.0974,9.66746,19.68083
"BOL",2003,6.71403,5.26006,8.23231
"CRI",2005,2.37423,2.37423,2.37423
"COL",2009,11.27965,8.61408,14.05686
"TZA",2014,145.43649,109.02582,190.27747
"GUY",2000,43.96783,36.02356,52.61289
"WPR",2007,2.6446,1.42974,4.18086
"CRI",2015,0,0,0
"MAR",2011,0,0,0
"MRT",2014,56.30408,19.55787,112.74974
"STP",2022,17.5427,NA,NA
"TJK",2013,0.00146,0.00146,0.00146
"CPV",2013,0.16519,0.16519,0.16519
"TUR",2017,0,0,0
"PAK",2003,5.62874,2.38901,13.41765
"AFR",2011,272.01915,250.15681,299.05103
"COM",2008,56.61148,37.94968,76.0964
"MEX",2016,0.2126,0.2126,0.2126
"NPL",2009,0.42261,0.42261,0.42261
"OMN",2009,0,0,0
"EMR",2003,17.12655,13.40353,29.85894
"CIV",2017,254.19993,160.21478,380.87367
"BGD",2013,1.87285,1.66472,2.1041
"LBR",2013,271.39674,177.70463,397.11067
"OMN",2016,0,0,0
"SLB",2010,173.27221,124.23034,247.735
"SDN",2014,36.76443,25.95399,50.36971
"MOZ",2020,308.34158,240.55555,388.91552
"UZB",2015,0,0,0
"BDI",2017,248.65779,183.92836,329.896
"PHL",2002,1.46405,1.09765,1.88233
"CRI",2016,0.00235,0.00235,0.00235
"CMR",2006,426.00496,339.53464,528.58215
"NAM",2007,12.89614,3.94188,29.87425
"ERI",2018,31.23191,20.09138,43.34977
"BLZ",2010,0.67883,0.67883,0.67883
"DJI",2002,3.07233,2.36668,3.7763
"GIN",2007,341.32213,238.29459,475.97326
"MRT",2011,46.38846,9.30077,96.81482
"AMR",2010,6.05139,5.50701,6.6584
"WPR",2013,2.39865,1.53304,3.49357
"NIC",2004,1.88248,1.56072,2.22018
"GUF",2011,10.66246,9.50774,12.25466
"CPV",2022,0,0,0
"SUR",2002,175.03409,175.03409,175.03409
"EUR",2000,1.10569,1.10569,1.10569
"AMR",2009,5.14789,4.75965,5.63305
"MLI",2020,349.38729,246.57137,496.4513
"SLB",2013,91.15358,68.38067,126.96419
"COM",2009,55.49056,37.19933,74.59027
"BRA",2000,21.53559,18.19431,25.13136
"MLI",2013,441.00037,315.75907,606.01542
"GUY",2017,32.74915,24.5861,44.764
"MMR",2022,12.4688,7.53209,52.73588
"SWZ",2002,2.25861,2.25861,2.25861
"PHL",2011,0.41945,0.29681,0.55145
"THA",2009,2.27917,2.27917,2.27917
"BRA",2020,3.94524,3.53264,4.26957
"SDN",2017,51.21514,25.16399,92.61123
"EUR",2005,0.16815,0.16815,0.16815
"TGO",2009,336.89171,240.65558,458.4637
"GUY",2016,25.299,19.05312,34.77594
"ERI",2012,17.28127,10.85083,24.94505
"TZA",2020,121.32607,87.62638,165.02559
"GIN",2012,430.02853,355.60368,515.59397
"CAF",2007,439.95097,326.90043,588.87375
"CHN",2017,0,0,0
"EMR",2012,9.31174,7.12314,13.18348
"NER",2000,359.23883,201.35063,595.45853
"BDI",2016,231.73071,170.26708,307.27108
"ECU",2023,0.05928,0.05928,0.05928
"AGO",2002,314.71882,210.45888,457.94149
"TLS",2001,158.37901,68.61873,359.57641
"RWA",2006,150.05356,35.9159,237.97698
"KOR",2017,0.12098,0.12098,0.12098
"TJK",2007,0.26426,0.26426,0.26426
"VNM",2002,0.82349,0.82349,0.82349
"LAO",2021,1.65104,1.19232,2.18378
"MAR",2013,0,0,0
"LKA",2017,0,0,0
"LKA",2002,9.09069,9.09069,9.09069
"KEN",2012,70.55896,51.44225,94.39272
"GNB",2008,88.1796,63.64132,119.17271
"TCD",2008,237.53386,159.04398,343.30009
"LAO",2019,2.79899,2.02335,3.70182
"CAF",2018,328.76876,213.02388,485.96474
"PRY",2014,0,0,0
"TUR",2018,0,0,0
