"Code","Year","Estimate","Low","High"
"KHM",2018,2.28893,1.16606,3.4809
"SDN",2007,10.85028,4.49875,20.03113
"NIC",2001,0.04467,0.04467,0.04467
"TZA",2000,129.24641,123.5138,135.42853
"NGA",2005,144.6752,135.73623,153.94863
"IRN",2006,0.13345,0.13345,0.13345
"STP",2020,0,0,0
"CMR",2005,120.35425,112.24279,128.90497
"SLV",2004,0,0,0
"EGY",2002,0,0,0
"ARG",2002,0,0,0
"SEAR",2020,0.45388,0.25196,0.6937
"SLB",2010,30.89239,13.83524,55.72002
"GLOBAL",2009,20.70137,19.47146,21.80505
"KEN",2010,23.23157,22.6979,23.78688
"SEAR",2018,0.48282,0.2715,0.7341
"IRQ",2013,0,0,0
"DZA",2004,0,0,0
"SOM",2006,30.27652,13.08346,52.67231
"ZAF",2021,0.91053,0.91053,0.91053
"AFG",2010,0.75558,0.30681,1.44705
"PER",2014,0.50726,0.25363,0.80316
"TUR",2017,0,0,0
"VEN",2017,2.77439,1.44608,4.20738
"WPR",2004,0.82343,0.42821,1.42721
"ZMB",2018,44.76573,41.57216,48.76619
"BEN",2020,78.95843,66.58655,94.00797
"SOM",2022,14.08277,5.52188,27.31731
"GLOBAL",2010,19.48114,18.47961,20.99017
"MOZ",2013,94.86017,82.58152,110.37614
"MYS",2014,0.32577,0.32577,0.32577
"LAO",2012,5.12963,2.18157,9.13973
"IRN",2018,0,0,0
"PRK",2014,0,0,0
"BGD",2023,0.16776,0.08117,0.26517
"UGA",2000,175.23224,166.38636,184.63635
"PAN",2019,0,0,0
"MEX",2020,0,0,0
"BTN",2019,0,0,0
"BFA",2007,225.0561,208.4931,243.22544
"AGO",2003,121.72509,108.38894,137.80315
"SUR",2001,32.0049,32.0049,32.0049
"ECU",2019,0,0,0
"SLE",2015,149.95052,136.42328,164.68554
"PRK",2015,0,0,0
"MYS",2008,1.81356,1.81356,1.81356
"AFG",2011,0.84736,0.32658,1.61086
"NGA",2023,81.04556,59.14511,115.82002
"DJI",2022,9.4989,4.57355,14.54153
"MRT",2015,18.93616,18.25536,19.69259
"VUT",2013,0,0,0
"PRY",2020,0,0,0
"CPV",2001,0,0,0
"ETH",2016,21.53969,5.18229,53.83201
"KGZ",2016,0,0,0
"CPV",2007,1.55028,1.55028,1.55028
"COG",2015,39.58741,35.5659,44.86443
"IDN",2016,0.71535,0.35824,1.09627
"KGZ",2010,0,0,0
"COM",2018,4.9249,2.33285,7.64655
"ERI",2019,13.48685,5.2466,24.84496
"SAU",2006,0,0,0
"HTI",2020,1.03529,0.39819,1.93122
"BGD",2022,0.2246,0.10408,0.35607
"VNM",2022,0,0,0
"AMR",2022,0.21063,0.15634,0.26885
"GMB",2006,28.15875,27.22596,29.20814
"ERI",2018,6.13889,2.44303,11.27551
"PRY",2008,0,0,0
"MYS",2019,0,0,0
"TGO",2018,43.08143,38.37129,48.49386
"SSD",2019,75.75275,42.34709,135.79083
"SUR",2017,1.14037,NA,NA
"AZE",2012,0,0,0
"KEN",2005,28.3743,27.52784,29.30455
"SDN",2005,12.65416,5.022,23.87225
"SWZ",2006,8.89205,8.89205,8.89205
"THA",2016,0.2008,0.2008,0.2008
"HTI",2017,0.86913,0.35179,1.61411
"EMR",2007,2.35657,1.47614,3.53003
"NGA",2013,90.50953,81.52799,101.04211
"HTI",2021,0.5609,0.21649,1.1218
"CAF",2017,103.84875,89.22481,120.89315
"VUT",2019,0,0,0
"SUR",2020,0,0,0
"BWA",2002,1.98834,1.98834,1.98834
"THA",2009,0.54152,0.54152,0.54152
"TGO",2021,39.93973,33.63227,48.42101
"IDN",2013,0.95602,0.48191,1.46374
"EUR",2021,0,0,0
"AFR",2008,94.22857,88.89034,96.92258
"CAF",2008,138.93449,125.51045,153.32367
"GUF",2018,0,0,0
"PER",2007,0.38373,0.19633,0.60683
"BFA",2010,234.56251,213.00639,257.7259
"YEM",2005,17.00909,5.19476,82.24204
"COM",2007,14.42637,5.02491,28.85273
"SEAR",2021,0.45234,0.25877,0.6871
"SOM",2021,14.26633,5.63344,27.46197
"SSD",2003,140.05249,122.27794,159.05837
"EMR",2004,2.7661,1.71648,5.23367
"GNQ",2012,50.48385,44.76286,57.51912
"MAR",2012,0,0,0
"BWA",2010,0.59351,0.59351,0.59351
"DOM",2020,0.03298,0.03298,0.03298
"IDN",2015,0.63064,0.31894,0.96296
"KHM",2012,3.60243,1.80592,5.56824
"TUR",2014,0,0,0
"BEN",2003,124.4776,117.51444,131.99681
"TJK",2020,0,0,0
"DOM",2021,0.01632,0.01632,0.01632
"LBR",2023,64.4635,51.68367,85.3445
"MWI",2011,67.23868,63.77325,71.05787
"TZA",2008,51.44615,49.73834,53.31598
"PAK",2007,0.48463,0.15162,1.33313
"NPL",2005,0.13088,0.13088,0.13088
"COL",2014,0.1649,0.1649,0.1649
"COG",2006,53.03057,50.21617,56.15768
"ZAF",2020,0.62745,0.62745,0.62745
"ETH",2000,50.19217,19.12944,98.27107
"ECU",2002,0.85957,0.85957,0.85957
"MWI",2020,38.00063,32.18509,47.75304
"GUY",2022,3.77296,1.82562,5.842
"GNB",2011,53.97755,49.12703,60.07179
"SSD",2010,70.13167,55.63335,87.67742
"BFA",2023,70.12142,48.98847,104.40929
"AFR",2012,71.34157,68.07883,75.9841
"ARG",2000,0,0,0
"GTM",2023,0,0,0
"SWZ",2009,4.20111,4.20111,4.20111
"GAB",2017,18.82331,16.5979,21.88326
"MMR",2009,7.1305,3.23614,12.8389
"BGD",2020,0.0837,0.03348,0.13391
"BWA",2007,0.47353,0.47353,0.47353
"SEN",2007,29.85469,29.18352,30.55136
"BWA",2015,0.3423,0.3423,0.3423
"MOZ",2005,141.18497,130.80307,152.56677
"MEX",2018,0,0,0
"AGO",2001,140.6742,126.36122,157.97873
"GNQ",2002,62.03342,58.27382,66.9209
"SAU",2009,0,0,0
"STP",2012,3.69512,NA,NA
"NIC",2015,0.01848,0.01848,0.01848
"MYS",2005,3.19321,3.19321,3.19321
"TGO",2022,38.802,32.19015,47.87817
"KAZ",2013,0,0,0
"BWA",2005,0.90179,0.90179,0.90179
"DJI",2011,0.7029,0.28116,1.4058
"ECU",2017,0,0,0
"EGY",2018,0,0,0
"NIC",2013,0,0,0
"NPL",2023,0,0,0
"KEN",2023,20.74125,20.02927,21.58333
"PER",2010,0.17507,0.07878,0.27136
"AGO",2012,44.26193,35.21006,56.76918
"GUF",2020,0,0,0
"MMR",2011,7.46453,3.31886,12.95726
"SDN",2022,15.9325,5.50788,34.17357
"WPR",2018,0.39498,0.19314,0.67435
"KOR",2020,0,0,0
"CRI",2007,0,0,0
"GUF",2001,3.21737,3.21737,3.21737
"SLE",2013,170.67192,157.41614,184.9554
"PNG",2017,27.34588,11.21045,49.9528
"DZA",2002,0,0,0
